2024/08/20 EARTHCARE
   GMT      SUBLAT[W+]    SUBLON[N+]  HEADING
15:51:00	21.3539	24.5774	169.1672
15:51:20	20.0613	24.8410	169.2034
15:51:40	18.7684	25.1017	169.2360
15:52:00	17.4752	25.3597	169.2659
15:52:20	16.1816	25.6152	169.2934
15:52:40	14.8878	25.8686	169.3181
15:53:00	13.5938	26.1199	169.3401
15:53:20	12.2995	26.3694	169.3603
15:53:40	11.0051	26.6173	169.3781
15:54:00	9.7105	26.8638	169.3933
15:54:20	8.4158	27.1090	169.4071
15:54:40	7.1210	27.3531	169.4187
15:55:00	5.8261	27.5963	169.4282
15:55:20	4.5311	27.8388	169.4361
15:55:40	3.2361	28.0808	169.4422
15:55:59	2.0000	28.3113	270.0983
23:59:59 -999.00 -999.00  -999.00
