2024/08/26 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:48:43	-1.8059	26.5521	10.5539
03:48:48	-1.4823	26.6124	10.5535
03:48:53	-1.1587	26.6727	10.5529
03:48:58	-0.8351	26.7330	10.5520
03:49:03	-0.5115	26.7933	10.5516
03:49:08	-0.1879	26.8535	10.5509
03:49:13	0.1357	26.9124	10.5514
03:49:18	0.4594	26.9726	10.5527
03:49:23	0.7830	27.0329	10.5519
03:49:28	1.1066	27.0932	10.5525
03:49:33	1.4302	27.1535	10.5527
03:49:38	1.7539	27.2138	10.5535
03:49:43	2.0775	27.2742	10.5532
03:49:48	2.4011	27.3345	10.5542
03:49:53	2.7248	27.3949	10.5550
03:49:58	3.0484	27.4553	10.5562
03:50:03	3.3720	27.5157	10.5570
03:50:08	3.6957	27.5761	10.5578
03:50:13	4.0193	27.6366	10.5597
03:50:18	4.3429	27.6971	10.5614
03:50:23	4.6666	27.7576	10.5630
03:50:28	4.9902	27.8182	10.5648
03:50:33	5.3138	27.8788	10.5672
03:50:38	5.6375	27.9394	10.5693
03:50:43	5.9611	28.0001	10.5693
03:50:48	6.2847	28.0609	10.5701
03:50:53	6.6083	28.1217	10.5719
03:50:58	6.9319	28.1825	10.5744
03:51:03	7.2555	28.2434	10.5775
03:51:08	7.5791	28.3043	10.5801
03:51:13	7.9027	28.3654	10.5833
03:51:18	8.2263	28.4264	10.5871
03:51:23	8.5499	28.4876	10.5906
03:51:28	8.8734	28.5488	10.5936
03:51:33	9.1970	28.6101	10.5972
03:51:38	9.5206	28.6714	10.6003
03:51:43	9.8441	28.7329	10.6032
03:51:48	10.1676	28.7944	10.6048
03:51:53	10.4912	28.8560	10.6070
03:51:58	10.8147	28.9176	10.6115
03:52:03	11.1382	28.9794	10.6155
03:52:08	11.4617	29.0413	10.6200
03:52:13	11.7852	29.1032	10.6241
03:52:18	12.1087	29.1652	10.6287
03:52:23	12.4321	29.2274	10.6339
03:52:28	12.7556	29.2896	10.6404
03:52:33	13.0790	29.3520	10.6455
03:52:38	13.4024	29.4144	10.6504
03:52:43	13.7259	29.4770	10.6556
03:52:48	14.0492	29.5397	10.6581
03:52:53	14.3726	29.6025	10.6609
03:52:58	14.6960	29.6654	10.6653
03:53:03	15.0194	29.7285	10.6716
03:53:08	15.3427	29.7916	10.6783
03:53:13	15.6660	29.8549	10.6846
03:53:18	15.9893	29.9184	10.6915
03:53:23	16.3126	29.9820	10.6988
03:53:28	16.6359	30.0457	10.7064
03:53:33	16.9591	30.1095	10.7137
03:53:38	17.2824	30.1735	10.7215
03:53:43	17.6056	30.2377	10.7294
03:53:48	17.9288	30.3020	10.7347
03:53:53	18.2520	30.3665	10.7379
03:53:58	18.5751	30.4311	10.7423
03:54:03	18.8983	30.4959	10.7495
03:54:08	19.2214	30.5608	10.7589
03:54:13	19.5445	30.6260	10.7685
03:54:18	19.8675	30.6913	10.7768
03:54:23	20.1906	30.7568	10.7863
03:54:28	20.5136	30.8225	10.7964
03:54:33	20.8366	30.8883	10.8057
03:54:38	21.1596	30.9544	10.8154
03:54:43	21.4826	31.0206	10.8256
03:54:48	21.8055	31.0871	10.8361
15:19:58	12.7800	18.0000	169.3624
15:20:03	12.4561	18.0623	169.3682
15:20:08	12.1321	18.1245	169.3733
15:20:13	11.8082	18.1866	169.3781
15:20:18	11.4842	18.2487	169.3832
15:20:23	11.1602	18.3106	169.3879
15:20:28	10.8362	18.3724	169.3920
15:20:33	10.5122	18.4342	169.3963
15:20:38	10.1882	18.4958	169.4004
15:20:43	9.8642	18.5574	169.4031
15:20:48	9.5401	18.6189	169.4042
15:20:53	9.2161	18.6803	169.4067
15:20:58	8.8921	18.7417	169.4096
15:21:03	8.5680	18.8029	169.4135
15:21:08	8.2439	18.8641	169.4171
15:21:13	7.9199	18.9253	169.4200
15:21:18	7.5958	18.9864	169.4226
15:21:23	7.2717	19.0474	169.4262
15:21:28	6.9476	19.1083	169.4293
15:21:33	6.6235	19.1692	169.4319
15:21:38	6.2994	19.2301	169.4340
15:21:43	5.9753	19.2909	169.4365
15:21:48	5.6512	19.3516	169.4367
15:21:53	5.3271	19.4124	169.4379
15:21:58	5.0030	19.4730	169.4395
15:22:03	4.6788	19.5337	169.4416
15:22:08	4.3547	19.5942	169.4430
15:22:13	4.0306	19.6548	169.4441
15:22:18	3.7065	19.7153	169.4462
15:22:23	3.3823	19.7758	169.4479
15:22:28	3.0582	19.8363	169.4488
15:22:33	2.7341	19.8967	169.4504
15:22:38	2.4100	19.9572	169.4511
15:22:43	2.0858	20.0176	169.4516
15:22:48	1.7617	20.0780	169.4521
15:22:53	1.4376	20.1383	169.4531
15:22:58	1.1135	20.1987	169.4525
15:23:03	0.7893	20.2591	169.4533
15:23:08	0.4652	20.3194	169.4535
15:23:13	0.1411	20.3798	169.4539
15:23:18	-0.1830	20.4401	169.4530
15:23:23	-0.5071	20.5004	169.4534
15:23:28	-0.8312	20.5608	169.4530
15:23:33	-1.1553	20.6211	169.4523
15:23:38	-1.4794	20.6815	169.4517
15:23:43	-1.8035	20.7419	169.4516
16:50:08	22.0000	39.3058	169.1649
16:50:13	21.6766	39.3724	169.1752
16:50:18	21.3532	39.4389	169.1852
16:50:23	21.0298	39.5051	169.1957
16:50:28	20.7064	39.5711	169.2059
16:50:33	20.3829	39.6370	169.2147
16:50:38	20.0594	39.7027	169.2220
16:50:43	19.7359	39.7681	169.2253
16:50:48	19.4123	39.8334	169.2308
16:50:53	19.0887	39.8986	169.2391
16:50:58	18.7652	39.9635	169.2479
23:59:59	-999.00	-999.00	-999.00
