2024/08/27 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
02:56:12	-4.7412	13.0688	10.5647
02:56:17	-4.4177	13.1293	10.5638
02:56:22	-4.0941	13.1898	10.5620
02:56:27	-3.7706	13.2503	10.5596
02:56:32	-3.4470	13.3107	10.5586
02:56:37	-3.1235	13.3711	10.5565
02:56:42	-2.7999	13.4315	10.5558
02:56:47	-2.4763	13.4919	10.5547
02:56:52	-2.1528	13.5522	10.5534
02:56:57	-1.8292	13.6125	10.5535
02:57:02	-1.5056	13.6728	10.5533
02:57:07	-1.1820	13.7331	10.5525
02:57:12	-0.8584	13.7934	10.5525
02:57:17	-0.5348	13.8537	10.5514
02:57:22	-0.2112	13.9140	10.5516
02:57:27	0.1125	13.9718	10.5519
02:57:32	0.4361	14.0320	10.5524
02:57:37	0.7597	14.0923	10.5525
02:57:42	1.0834	14.1526	10.5523
02:57:47	1.4070	14.2129	10.5525
02:57:52	1.7306	14.2732	10.5534
02:57:57	2.0543	14.3336	10.5538
02:58:02	2.3779	14.3939	10.5541
02:58:07	2.7016	14.4543	10.5549
02:58:12	3.0252	14.5147	10.5553
02:58:17	3.3489	14.5751	10.5561
02:58:22	3.6725	14.6355	10.5577
02:58:27	3.9962	14.6960	10.5589
02:58:32	4.3198	14.7565	10.5607
02:58:37	4.6434	14.8170	10.5629
02:58:42	4.9671	14.8776	10.5647
02:58:47	5.2907	14.9382	10.5664
02:58:52	5.6143	14.9988	10.5686
02:58:57	5.9380	15.0595	10.5703
02:59:02	6.2616	15.1203	10.5709
02:59:07	6.5852	15.1811	10.5721
02:59:12	6.9088	15.2419	10.5736
02:59:17	7.2325	15.3028	10.5768
02:59:22	7.5561	15.3637	10.5805
02:59:27	7.8797	15.4247	10.5829
02:59:32	8.2033	15.4858	10.5866
02:59:37	8.5268	15.5470	10.5891
02:59:42	8.8504	15.6082	10.5922
02:59:47	9.1740	15.6694	10.5967
02:59:52	9.4976	15.7308	10.5998
02:59:57	9.8211	15.7922	10.6043
03:00:02	10.1447	15.8537	10.6060
03:00:07	10.4682	15.9153	10.6076
03:00:12	10.7917	15.9770	10.6103
03:00:17	11.1153	16.0388	10.6143
03:00:22	11.4388	16.1006	10.6188
03:00:27	11.7623	16.1625	10.6238
03:00:32	12.0857	16.2246	10.6284
03:00:37	12.4092	16.2867	10.6337
