2024/08/31 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
05:39:12	-4.9980	53.8151	10.5658
05:39:17	-4.6746	53.8756	10.5637
05:39:22	-4.3510	53.9361	10.5619
05:39:27	-4.0275	53.9966	10.5607
05:39:32	-3.7040	54.0571	10.5591
05:39:37	-3.3805	54.1175	10.5574
05:39:42	-3.0569	54.1779	10.5560
05:39:47	-2.7334	54.2383	10.5560
05:39:52	-2.4098	54.2986	10.5558
05:39:57	-2.0863	54.3590	10.5552
05:40:02	-1.7627	54.4193	10.5543
05:40:07	-1.4391	54.4796	10.5530
05:40:12	-1.1155	54.5399	10.5525
05:40:17	-0.7919	54.6002	10.5523
05:40:22	-0.4683	54.6604	10.5510
05:40:27	-0.1448	54.7207	10.5512
05:40:32	0.1768	54.7779	10.5522
05:40:37	0.5004	54.8382	10.5527
05:40:42	0.8240	54.8985	10.5526
05:40:47	1.1476	54.9588	10.5532
05:40:52	1.4713	55.0191	10.5534
05:40:57	1.7949	55.0794	10.5534
05:41:02	2.1185	55.1397	10.5537
05:41:07	2.4422	55.2001	10.5548
05:41:12	2.7658	55.2604	10.5555
05:41:17	3.0894	55.3208	10.5565
05:41:22	3.4131	55.3812	10.5576
05:41:27	3.7367	55.4417	10.5590
05:41:32	4.0603	55.5022	10.5611
05:41:37	4.3840	55.5627	10.5625
05:41:42	4.7076	55.6232	10.5639
05:41:47	5.0312	55.6838	10.5659
05:41:52	5.3549	55.7444	10.5663
05:41:57	5.6785	55.8050	10.5667
05:42:02	6.0021	55.8657	10.5685
05:42:07	6.3257	55.9265	10.5708
05:42:12	6.6493	55.9873	10.5736
05:42:17	6.9729	56.0481	10.5759
05:42:22	7.2965	56.1090	10.5782
05:42:27	7.6201	56.1700	10.5817
05:42:32	7.9437	56.2310	10.5848
05:42:37	8.2673	56.2921	10.5877
05:42:42	8.5909	56.3533	10.5918
05:42:47	8.9145	56.4145	10.5949
05:42:52	9.2380	56.4758	10.5975
05:42:57	9.5616	56.5371	10.5989
05:43:02	9.8852	56.5986	10.6007
05:43:07	10.2087	56.6601	10.6041
05:43:12	10.5322	56.7217	10.6071
05:43:17	10.8558	56.7834	10.6124
05:43:22	11.1793	56.8452	10.6171
05:43:27	11.5028	56.9071	10.6215
05:43:32	11.8263	56.9690	10.6264
05:43:37	12.1497	57.0311	10.6313
05:43:42	12.4732	57.0932	10.6362
05:43:47	12.7967	57.1555	10.6417
05:43:52	13.1201	57.2179	10.6468
05:43:57	13.4436	57.2803	10.6501
05:44:02	13.7670	57.3429	10.6520
05:44:07	14.0904	57.4056	10.6551
05:44:12	14.4138	57.4684	10.6613
05:44:17	14.7371	57.5314	10.6679
05:44:22	15.0605	57.5944	10.6743
05:44:27	15.3839	57.6576	10.6810
05:44:32	15.7072	57.7210	10.6873
05:44:37	16.0305	57.7844	10.6940
05:44:42	16.3538	57.8480	10.7012
05:44:47	16.6771	57.9117	10.7088
05:44:52	17.0003	57.9756	10.7159
05:44:57	17.3236	58.0397	10.7219
05:45:02	17.6468	58.1038	10.7259
05:45:07	17.9700	58.1682	10.7294
05:45:12	18.2932	58.2327	10.7359
05:45:17	18.6164	58.2973	10.7451
05:45:22	18.9395	58.3621	10.7531
05:45:27	19.2626	58.4271	10.7616
05:45:32	19.5857	58.4923	10.7711
05:45:37	19.9088	58.5576	10.7793
17:09:22	19.8892	44.4430	169.2243
17:09:27	19.5656	44.5084	169.2335
17:09:32	19.2420	44.5737	169.2425
17:09:37	18.9184	44.6387	169.2518
17:09:42	18.5947	44.7036	169.2599
