2024/09/01 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:15:52	-0.7541	18.5056	10.5525
03:15:57	-0.4305	18.5659	10.5520
03:16:02	-0.1069	18.6261	10.5521
03:16:07	0.2298	18.6856	10.5517
03:16:12	0.5534	18.7459	10.5520
03:16:17	0.8771	18.8062	10.5519
03:16:22	1.2008	18.8665	10.5523
03:16:27	1.5244	18.9268	10.5526
03:16:32	1.8481	18.9871	10.5533
03:16:37	2.1718	19.0475	10.5528
03:16:42	2.4955	19.1078	10.5546
03:16:47	2.8192	19.1682	10.5553
03:16:52	3.1428	19.2286	10.5564
03:16:57	3.4665	19.2890	10.5573
03:17:02	3.7902	19.3495	10.5596
03:17:07	4.1139	19.4100	10.5607
03:17:12	4.4375	19.4705	10.5620
03:17:17	4.7612	19.5310	10.5625
03:17:22	5.0849	19.5916	10.5636
03:17:27	5.4086	19.6523	10.5648
03:17:32	5.7322	19.7129	10.5669
03:17:37	6.0559	19.7736	10.5694
03:17:42	6.3796	19.8344	10.5717
03:17:47	6.7032	19.8952	10.5744
03:17:52	7.0269	19.9561	10.5760
03:17:57	7.3505	20.0170	10.5789
03:18:02	7.6742	20.0780	10.5825
03:18:07	7.9978	20.1390	10.5855
03:18:12	8.3214	20.2001	10.5891
03:18:17	8.6451	20.2613	10.5906
03:18:22	8.9687	20.3225	10.5918
03:18:27	9.2923	20.3838	10.5934
03:18:32	9.6159	20.4452	10.5976
03:18:37	9.9395	20.5067	10.6011
03:18:42	10.2631	20.5682	10.6054
03:18:47	10.5866	20.6298	10.6090
03:18:52	10.9102	20.6916	10.6141
03:18:57	11.2338	20.7533	10.6189
03:19:02	11.5573	20.8152	10.6232
03:19:07	11.8808	20.8772	10.6282
03:19:12	12.2044	20.9393	10.6327
03:19:17	12.5279	21.0015	10.6378
03:19:22	12.8514	21.0638	10.6398
03:19:27	13.1749	21.1262	10.6415
03:19:32	13.4983	21.1887	10.6455
03:19:37	13.8218	21.2513	10.6515
03:19:42	14.1452	21.3140	10.6572
03:19:47	14.4687	21.3768	10.6632
03:19:52	14.7921	21.4398	10.6698
03:19:57	15.1155	21.5029	10.6761
03:20:02	15.4389	21.5661	10.6827
03:20:07	15.7622	21.6295	10.6897
03:20:12	16.0856	21.6930	10.6963
03:20:17	16.4089	21.7566	10.7035
03:20:22	16.7323	21.8204	10.7087
03:20:27	17.0556	21.8843	10.7116
03:20:32	17.3788	21.9483	10.7158
03:20:37	17.7021	22.0125	10.7230
03:20:42	18.0253	22.0769	10.7314
03:20:47	18.3486	22.1414	10.7393
03:20:52	18.6718	22.2061	10.7476
03:20:57	18.9950	22.2710	10.7555
03:21:02	19.3181	22.3360	10.7656
03:21:07	19.6413	22.4012	10.7742
03:21:12	19.9644	22.4666	10.7833
03:21:17	20.2875	22.5321	10.7926
03:21:22	20.6106	22.5978	10.8023
03:21:27	20.9336	22.6638	10.8069
03:21:32	21.2567	22.7299	10.8118
03:21:37	21.5797	22.7962	10.8185
03:21:42	21.9026	22.8627	10.8290
04:48:23	-0.8836	41.6156	10.5529
04:48:28	-0.5600	41.6759	10.5526
04:48:33	-0.2364	41.7361	10.5529
04:48:38	0.1003	41.7967	10.5517
04:48:43	0.4239	41.8570	10.5520
04:48:48	0.7476	41.9173	10.5521
04:48:53	1.0713	41.9776	10.5519
04:48:58	1.3950	42.0379	10.5523
04:49:03	1.7187	42.0982	10.5531
04:49:08	2.0423	42.1585	10.5545
04:49:13	2.3660	42.2189	10.5539
04:49:18	2.6897	42.2793	10.5545
04:49:23	3.0134	42.3396	10.5550
04:49:28	3.3371	42.4001	10.5560
04:49:33	3.6608	42.4605	10.5583
04:49:38	3.9844	42.5210	10.5588
04:49:43	4.3081	42.5815	10.5604
04:49:48	4.6318	42.6420	10.5626
04:49:53	4.9555	42.7026	10.5645
04:49:58	5.2792	42.7632	10.5662
04:50:03	5.6028	42.8238	10.5684
04:50:08	5.9265	42.8845	10.5709
04:50:13	6.2502	42.9453	10.5716
04:50:18	6.5738	43.0061	10.5728
04:50:23	6.8975	43.0669	10.5736
04:50:28	7.2211	43.1278	10.5766
04:50:33	7.5448	43.1888	10.5793
04:50:38	7.8684	43.2498	10.5826
04:50:43	8.1921	43.3109	10.5854
04:50:48	8.5157	43.3720	10.5881
04:50:53	8.8393	43.4332	10.5928
04:50:58	9.1630	43.4945	10.5956
04:51:03	9.4866	43.5559	10.5996
04:51:08	9.8102	43.6173	10.6034
04:51:13	10.1338	43.6788	10.6068
04:51:18	10.4573	43.7404	10.6089
04:51:23	10.7809	43.8021	10.6099
04:51:28	11.1045	43.8638	10.6140
04:51:33	11.4280	43.9257	10.6178
04:51:38	11.7516	43.9876	10.6228
04:51:43	12.0751	44.0497	10.6272
04:51:48	12.3986	44.1118	10.6326
04:51:53	12.7221	44.1741	10.6382
04:51:58	13.0456	44.2364	10.6435
04:52:03	13.3691	44.2989	10.6491
04:52:08	13.6926	44.3614	10.6545
04:52:13	14.0160	44.4241	10.6603
04:52:18	14.3395	44.4869	10.6640
04:52:23	14.6629	44.5498	10.6666
04:52:28	14.9863	44.6129	10.6697
04:52:33	15.3097	44.6760	10.6763
04:52:38	15.6331	44.7393	10.6829
04:52:43	15.9565	44.8028	10.6897
04:52:48	16.2798	44.8663	10.6969
04:52:53	16.6031	44.9301	10.7038
04:52:58	16.9264	44.9939	10.7120
04:53:03	17.2497	45.0579	10.7188
04:53:08	17.5730	45.1221	10.7269
04:53:13	17.8963	45.1864	10.7346
04:53:18	18.2195	45.2508	10.7419
04:53:23	18.5427	45.3154	10.7462
04:53:28	18.8659	45.3802	10.7502
04:53:33	19.1891	45.4452	10.7564
04:53:38	19.5123	45.5103	10.7652
04:53:43	19.8354	45.5756	10.7744
04:53:48	20.1585	45.6411	10.7833
04:53:53	20.4816	45.7068	10.7931
04:53:58	20.8047	45.7726	10.8028
04:54:03	21.1277	45.8387	10.8133
04:54:08	21.4507	45.9049	10.8236
04:54:13	21.7737	45.9713	10.8341
14:47:06	11.3985	9.9987	169.3858
14:47:11	11.0745	10.0606	169.3903
14:47:16	10.7504	10.1224	169.3930
14:47:21	10.4264	10.1841	169.3949
14:47:26	10.1023	10.2457	169.3974
14:47:31	9.7782	10.3073	169.4008
14:47:36	9.4542	10.3688	169.4048
14:47:41	9.1301	10.4302	169.4082
14:47:46	8.8060	10.4915	169.4120
14:47:51	8.4819	10.5528	169.4160
14:47:56	8.1578	10.6140	169.4197
14:48:01	7.8337	10.6751	169.4227
14:48:06	7.5095	10.7362	169.4254
14:48:11	7.1854	10.7972	169.4282
14:48:16	6.8613	10.8582	169.4313
14:48:21	6.5371	10.9191	169.4316
14:48:26	6.2130	10.9799	169.4329
14:48:31	5.8888	11.0407	169.4344
14:48:36	5.5647	11.1014	169.4364
14:48:41	5.2405	11.1621	169.4386
14:48:46	4.9164	11.2228	169.4405
14:48:51	4.5922	11.2834	169.4425
14:48:56	4.2681	11.3440	169.4442
14:49:01	3.9439	11.4046	169.4460
14:49:06	3.6197	11.4651	169.4475
14:49:11	3.2956	11.5256	169.4483
14:49:16	2.9714	11.5861	169.4501
14:49:21	2.6472	11.6465	169.4507
14:49:26	2.3231	11.7070	169.4508
14:49:31	1.9989	11.7674	169.4511
14:49:36	1.6747	11.8277	169.4519
14:49:41	1.3506	11.8881	169.4521
14:49:46	1.0264	11.9485	169.4535
14:49:51	0.7022	12.0089	169.4534
14:49:56	0.3781	12.0692	169.4538
14:50:01	0.0539	12.1296	169.4535
14:50:06	-0.2702	12.1899	169.4535
14:50:11	-0.5944	12.2503	169.4538
14:50:16	-0.9185	12.3106	169.4524
16:16:57	21.8263	31.0725	169.1699
16:17:02	21.5029	31.1390	169.1749
16:17:07	21.1794	31.2054	169.1843
16:17:12	20.8559	31.2715	169.1942
16:17:17	20.5324	31.3374	169.2046
16:17:22	20.2089	31.4032	169.2147
16:17:27	19.8853	31.4688	169.2234
16:17:32	19.5617	31.5342	169.2328
16:17:37	19.2381	31.5994	169.2416
16:17:42	18.9145	31.6644	169.2501
16:17:47	18.5909	31.7293	169.2592
16:17:52	18.2672	31.7940	169.2677
16:17:57	17.9435	31.8585	169.2718
16:18:02	17.6198	31.9229	169.2756
16:18:07	17.2961	31.9872	169.2797
16:18:12	16.9723	32.0512	169.2883
16:18:17	16.6485	32.1152	169.2947
16:18:22	16.3248	32.1790	169.3025
16:18:27	16.0010	32.2426	169.3099
16:18:32	15.6771	32.3061	169.3169
16:18:37	15.3533	32.3695	169.3242
16:18:42	15.0294	32.4328	169.3310
16:18:47	14.7056	32.4959	169.3374
16:18:52	14.3817	32.5589	169.3433
16:18:57	14.0578	32.6217	169.3482
16:19:02	13.7339	32.6845	169.3508
16:19:07	13.4099	32.7471	169.3528
16:19:12	13.0860	32.8097	169.3569
16:19:17	12.7620	32.8721	169.3631
16:19:22	12.4380	32.9344	169.3679
16:19:27	12.1141	32.9966	169.3741
16:19:32	11.7901	33.0587	169.3787
16:19:37	11.4660	33.1208	169.3839
16:19:42	11.1420	33.1827	169.3877
16:19:47	10.8180	33.2445	169.3926
16:19:52	10.4939	33.3063	169.3971
16:19:57	10.1699	33.3679	169.4011
16:20:02	9.8458	33.4295	169.4029
16:20:07	9.5218	33.4910	169.4043
16:20:12	9.1977	33.5524	169.4066
16:20:17	8.8736	33.6138	169.4102
16:20:22	8.5495	33.6750	169.4143
16:20:27	8.2254	33.7362	169.4170
16:20:32	7.9013	33.7974	169.4208
16:20:37	7.5772	33.8585	169.4234
16:20:42	7.2530	33.9195	169.4260
16:20:47	6.9289	33.9805	169.4293
16:20:52	6.6048	34.0414	169.4320
16:20:57	6.2806	34.1022	169.4349
16:21:02	5.9565	34.1630	169.4364
16:21:07	5.6323	34.2238	169.4375
16:21:12	5.3082	34.2845	169.4381
16:21:17	4.9840	34.3452	169.4397
16:21:22	4.6599	34.4058	169.4418
16:21:27	4.3357	34.4664	169.4432
16:21:32	4.0115	34.5270	169.4451
16:21:37	3.6874	34.5875	169.4472
16:21:42	3.3632	34.6480	169.4480
16:21:47	3.0391	34.7085	169.4499
16:21:52	2.7149	34.7689	169.4505
16:21:57	2.3907	34.8293	169.4503
16:22:02	2.0666	34.8898	169.4515
16:22:07	1.7424	34.9502	169.4522
16:22:12	1.4182	35.0105	169.4531
16:22:17	1.0941	35.0709	169.4526
16:22:22	0.7699	35.1313	169.4535
16:22:27	0.4458	35.1916	169.4537
16:22:32	0.1216	35.2520	169.4542
16:22:37	-0.2025	35.3123	169.4533
16:22:42	-0.5267	35.3727	169.4527
16:22:47	-0.8508	35.4330	169.4526
17:49:28	21.8905	54.1935	169.1729
17:49:33	21.5671	54.2601	169.1834
17:49:38	21.2436	54.3264	169.1895
17:49:43	20.9201	54.3926	169.1944
17:49:48	20.5966	54.4586	169.1999
17:49:53	20.2731	54.5244	169.2100
