2024/09/06 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
05:05:54	-2.0000	45.8869	10.5565
05:05:59	-1.6764	45.9472	10.5554
05:06:04	-1.3529	46.0075	10.5549
05:06:09	-1.0293	46.0678	10.5552
05:06:14	-0.7058	46.1281	10.5539
05:06:19	-0.3822	46.1884	10.5536
05:06:24	-0.0586	46.2487	10.5544
05:06:29	0.2650	46.3090	10.5541
05:06:34	0.5886	46.3693	10.5543
05:06:39	0.9122	46.4296	10.5542
05:06:44	1.2358	46.4899	10.5547
05:06:49	1.5594	46.5502	10.5556
05:06:54	1.8829	46.6105	10.5564
05:06:59	2.2066	46.6709	10.5558
05:07:04	2.5302	46.7312	10.5576
05:07:09	2.8538	46.7916	10.5582
05:07:14	3.1774	46.8520	10.5592
05:07:19	3.5010	46.9125	10.5610
05:07:24	3.8246	46.9729	10.5621
05:07:29	4.1482	47.0334	10.5631
05:07:34	4.4718	47.0939	10.5631
05:07:39	4.7954	47.1545	10.5641
05:07:44	5.1190	47.2151	10.5660
05:07:49	5.4426	47.2757	10.5675
05:07:54	5.7662	47.3364	10.5702
05:07:59	6.0898	47.3971	10.5717
05:08:04	6.4134	47.4579	10.5748
05:08:09	6.7370	47.5187	10.5775
05:08:14	7.0606	47.5795	10.5798
05:08:19	7.3842	47.6405	10.5827
05:08:24	7.7078	47.7015	10.5861
05:08:29	8.0313	47.7625	10.5891
05:08:34	8.3549	47.8236	10.5901
05:08:39	8.6785	47.8848	10.5916
05:08:44	9.0020	47.9461	10.5936
05:08:49	9.3256	48.0074	10.5969
05:08:54	9.6491	48.0688	10.6010
05:08:59	9.9727	48.1302	10.6053
05:09:04	10.2962	48.1918	10.6086
05:09:09	10.6197	48.2534	10.6130
05:09:14	10.9432	48.3152	10.6174
05:09:19	11.2667	48.3770	10.6219
05:09:24	11.5902	48.4389	10.6263
05:09:29	11.9137	48.5009	10.6311
05:09:34	12.2372	48.5630	10.6348
05:09:39	12.5606	48.6252	10.6370
05:09:44	12.8841	48.6875	10.6392
05:09:49	13.2075	48.7499	10.6434
05:09:54	13.5309	48.8124	10.6496
05:09:59	13.8543	48.8750	10.6558
05:10:04	14.1777	48.9377	10.6613
05:10:09	14.5011	49.0006	10.6673
05:10:14	14.8245	49.0636	10.6731
05:10:19	15.1478	49.1267	10.6799
05:10:24	15.4712	49.1899	10.6866
05:10:29	15.7945	49.2533	10.6936
05:10:34	16.1178	49.3168	10.7010
05:10:39	16.4411	49.3805	10.7039
05:10:44	16.7644	49.4442	10.7072
05:10:49	17.0877	49.5082	10.7119
05:10:54	17.4109	49.5723	10.7185
05:10:59	17.7341	49.6365	10.7265
05:11:04	18.0573	49.7009	10.7348
05:11:09	18.3805	49.7654	10.7434
05:11:14	18.7037	49.8301	10.7516
05:11:19	19.0268	49.8950	10.7605
05:11:24	19.3500	49.9600	10.7695
05:11:29	19.6731	50.0253	10.7789
05:11:34	19.9962	50.0907	10.7880
05:11:39	20.3192	50.1562	10.7947
05:11:44	20.6423	50.2220	10.7996
05:11:49	20.9653	50.2880	10.8048
05:11:54	21.2883	50.3541	10.8127
05:11:59	21.6113	50.4205	10.8236
05:12:04	21.9342	50.4870	10.8338
16:40:46	-1.4035	40.0242	169.4510
16:40:51	-1.7277	40.0845	169.4508
16:40:56	-2.0000	40.1353	36.0264
18:07:22	21.7412	58.7133	169.1674
18:07:27	21.4177	58.7798	169.1772
18:07:32	21.0941	58.8461	169.1884
18:07:37	20.7705	58.9123	169.1984
18:07:42	20.4469	58.9782	169.2081
18:07:47	20.1233	59.0439	169.2173
18:07:52	19.7997	59.1094	169.2270
18:07:57	19.4760	59.1748	169.2356
18:08:02	19.1523	59.2400	169.2447
18:08:07	18.8286	59.3050	169.2541
18:08:12	18.5049	59.3699	169.2591
18:08:17	18.1811	59.4345	169.2637
18:08:22	17.8574	59.4991	169.2669
18:08:27	17.5336	59.5634	169.2748
18:08:32	17.2098	59.6276	169.2831
18:08:37	16.8859	59.6917	169.2902
18:08:42	16.5621	59.7556	169.2985
18:08:47	16.2382	59.8194	169.3055
18:08:52	15.9143	59.8830	169.3128
18:08:57	15.5904	59.9465	169.3191
18:09:01	15.3169	60.0000	193.0109
23:59:59	-999.00	-999.00	-999.00
