2024/09/12 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:04:13	17.8928	18.0000	10.7347
03:04:18	18.2161	18.0645	10.7426
03:04:23	18.5394	18.1291	10.7469
03:04:28	18.8627	18.1939	10.7509
03:04:33	19.1859	18.2589	10.7561
03:04:38	19.5092	18.3240	10.7651
03:04:43	19.8324	18.3893	10.7734
03:04:48	20.1556	18.4548	10.7829
03:04:53	20.4788	18.5205	10.7928
03:04:58	20.8020	18.5864	10.8022
03:05:03	21.1251	18.6524	10.8128
03:05:08	21.4482	18.7187	10.8230
03:05:13	21.7713	18.7852	10.8334
04:31:38	-2.0000	37.3532	10.5552
04:31:43	-1.6764	37.4136	10.5541
04:31:48	-1.3527	37.4739	10.5530
04:31:53	-1.0291	37.5342	10.5521
04:31:58	-0.7054	37.5945	10.5519
04:32:03	-0.3817	37.6548	10.5514
04:32:08	-0.0580	37.7151	10.5089
04:32:13	0.2656	37.7753	10.5525
04:32:18	0.5893	37.8356	10.5516
04:32:23	0.9130	37.8959	10.5525
04:32:28	1.2367	37.9562	10.5528
04:32:33	1.5604	38.0166	10.5531
04:32:38	1.8841	38.0769	10.5527
04:32:43	2.2079	38.1373	10.5550
04:32:48	2.5316	38.1976	10.5549
04:32:53	2.8553	38.2580	10.5564
04:32:58	3.1790	38.3184	10.5573
04:33:03	3.5027	38.3789	10.5590
04:33:08	3.8264	38.4393	10.5595
04:33:13	4.1502	38.4998	10.5613
04:33:18	4.4739	38.5604	10.5611
04:33:23	4.7976	38.6209	10.5623
04:33:28	5.1213	38.6815	10.5631
04:33:33	5.4450	38.7422	10.5653
04:33:38	5.7688	38.8029	10.5682
04:33:43	6.0925	38.8636	10.5699
04:33:48	6.4162	38.9244	10.5727
04:33:53	6.7399	38.9852	10.5754
04:33:58	7.0636	39.0461	10.5776
04:34:03	7.3873	39.1070	10.5805
04:34:08	7.7110	39.1680	10.5840
04:34:13	8.0347	39.2291	10.5862
04:34:18	8.3584	39.2902	10.5880
04:34:23	8.6821	39.3514	10.5885
04:34:28	9.0057	39.4126	10.5913
04:34:33	9.3294	39.4740	10.5946
04:34:38	9.6531	39.5354	10.5986
04:34:43	9.9767	39.5969	10.6030
04:34:48	10.3004	39.6584	10.6061
04:34:53	10.6240	39.7201	10.6107
04:34:58	10.9476	39.7818	10.6149
04:35:03	11.2713	39.8436	10.6196
04:35:08	11.5949	39.9055	10.6248
04:35:13	11.9185	39.9676	10.6295
16:00:30	21.9361	27.0004	169.1658
16:00:35	21.6127	27.0670	169.1764
16:00:40	21.2892	27.1334	169.1871
16:00:45	20.9657	27.1996	169.1968
16:00:50	20.6422	27.2656	169.2069
16:00:55	20.3187	27.3315	169.2160
16:01:00	19.9951	27.3971	169.2262
16:01:05	19.6715	27.4625	169.2314
16:01:10	19.3479	27.5278	169.2361
16:01:15	19.0242	27.5929	169.2403
16:01:20	18.7006	27.6579	169.2491
16:01:25	18.3769	27.7226	169.2583
16:01:30	18.0532	27.7872	169.2665
16:01:35	17.7295	27.8517	169.2748
16:01:40	17.4058	27.9160	169.2820
16:01:45	17.0820	27.9801	169.2905
16:01:50	16.7583	28.0441	169.2976
16:01:55	16.4345	28.1079	169.3053
16:02:00	16.1107	28.1716	169.3124
16:02:05	15.7868	28.2352	169.3183
16:02:10	15.4630	28.2986	169.3213
16:02:15	15.1392	28.3619	169.3246
16:02:20	14.8153	28.4250	169.3294
16:02:25	14.4914	28.4881	169.3352
16:02:30	14.1675	28.5510	169.3413
16:02:35	13.8436	28.6138	169.3479
16:02:40	13.5197	28.6765	169.3540
16:02:45	13.1957	28.7390	169.3587
16:02:50	12.8718	28.8015	169.3648
16:02:55	12.5478	28.8638	169.3703
16:03:00	12.2239	28.9261	169.3753
16:03:05	11.8999	28.9882	169.3807
16:03:10	11.5759	29.0503	169.3823
16:03:15	11.2519	29.1122	169.3851
16:03:20	10.9279	29.1741	169.3866
16:03:25	10.6038	29.2359	169.3909
16:03:30	10.2798	29.2975	169.3955
16:03:35	9.9558	29.3592	169.3997
16:03:40	9.6317	29.4207	169.4034
16:03:45	9.3076	29.4821	169.4074
16:03:50	8.9836	29.5435	169.4110
16:03:55	8.6595	29.6048	169.4150
16:04:00	8.3354	29.6660	169.4183
16:04:05	8.0113	29.7272	169.4219
16:04:10	7.6873	29.7883	169.4249
16:04:15	7.3632	29.8493	169.4251
16:04:20	7.0391	29.9103	169.4265
16:04:25	6.7150	29.9712	169.4289
16:04:30	6.3908	30.0321	169.4307
16:04:35	6.0667	30.0929	169.4332
16:04:40	5.7426	30.1537	169.4358
16:04:45	5.4185	30.2144	169.4378
