2024/09/24 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:27:11	-0.8705	21.4487	10.5503
03:27:16	-0.5466	21.5090	10.5500
03:27:21	-0.2227	21.5693	10.5501
03:27:26	0.1012	21.6296	10.5501
03:27:31	0.4250	21.6900	10.5495
03:27:36	0.7489	21.7503	10.5497
03:27:41	1.0728	21.8106	10.5502
03:27:46	1.3967	21.8709	10.5506
03:27:51	1.7206	21.9313	10.5513
03:27:56	2.0445	21.9917	10.5518
03:28:01	2.3684	22.0520	10.5519
03:28:06	2.6923	22.1124	10.5526
03:28:11	3.0162	22.1729	10.5531
03:28:16	3.3401	22.2333	10.5540
03:28:21	3.6640	22.2938	10.5547
03:28:26	3.9879	22.3543	10.5567
03:28:31	4.3118	22.4148	10.5585
03:28:36	4.6357	22.4754	10.5605
03:28:41	4.9596	22.5360	10.5618
03:28:46	5.2835	22.5966	10.5642
03:28:51	5.6074	22.6573	10.5662
03:28:56	5.9313	22.7180	10.5681
03:29:01	6.2552	22.7788	10.5694
03:29:06	6.5791	22.8396	10.5706
03:29:11	6.9030	22.9005	10.5714
03:29:16	7.2268	22.9614	10.5743
03:29:21	7.5507	23.0224	10.5769
03:29:26	7.8746	23.0834	10.5803
03:29:31	8.1984	23.1445	10.5831
03:29:36	8.5223	23.2057	10.5865
03:29:41	8.8461	23.2670	10.5903
03:29:46	9.1700	23.3283	10.5932
03:29:51	9.4938	23.3897	10.5972
03:29:56	9.8177	23.4511	10.6010
03:30:01	10.1415	23.5127	10.6051
03:30:06	10.4653	23.5743	10.6064
03:30:11	10.7891	23.6360	10.6081
03:30:16	11.1129	23.6978	10.6115
03:30:21	11.4367	23.7597	10.6160
03:30:26	11.7604	23.8217	10.6201
03:30:31	12.0842	23.8837	10.6255
03:30:36	12.4079	23.9459	10.6307
03:30:41	12.7317	24.0082	10.6362
03:30:46	13.0554	24.0706	10.6414
03:30:51	13.3791	24.1331	10.6471
03:30:56	13.7028	24.1957	10.6525
03:31:01	14.0265	24.2584	10.6591
03:31:06	14.3502	24.3212	10.6619
03:31:11	14.6738	24.3842	10.6652
03:31:16	14.9975	24.4473	10.6674
03:31:21	15.3211	24.5105	10.6741
03:31:26	15.6447	24.5738	10.6805
03:31:31	15.9683	24.6373	10.6874
03:31:36	16.2919	24.7009	10.6952
03:31:41	16.6155	24.7646	10.7021
03:31:46	16.9390	24.8285	10.7092
03:31:51	17.2625	24.8926	10.7171
03:31:56	17.5861	24.9568	10.7251
03:32:01	17.9095	25.0211	10.7327
03:32:06	18.2330	25.0856	10.7408
03:32:11	18.5565	25.1503	10.7444
03:32:16	18.8799	25.2151	10.7484
03:32:21	19.2033	25.2801	10.7543
03:32:26	19.5267	25.3453	10.7631
03:32:31	19.8501	25.4106	10.7732
03:32:36	20.1734	25.4761	10.7818
03:32:41	20.4967	25.5418	10.7918
03:32:46	20.8200	25.6077	10.8011
03:32:51	21.1433	25.6738	10.8117
03:32:56	21.4666	25.7401	10.8219
03:33:01	21.7898	25.8066	10.8323
04:59:42	-1.0000	44.5608	10.5501
04:59:47	-0.6761	44.6211	10.5499
04:59:52	-0.3523	44.6814	10.5502
04:59:57	-0.0284	44.7418	10.5494
05:00:02	0.2955	44.8021	10.5498
05:00:07	0.6194	44.8624	10.5500
05:00:12	0.9432	44.9227	10.5498
05:00:17	1.2671	44.9831	10.5503
05:00:22	1.5910	45.0434	10.5503
05:00:27	1.9149	45.1038	10.5509
05:00:32	2.2388	45.1641	10.5513
05:00:37	2.5627	45.2245	10.5530
05:00:42	2.8866	45.2849	10.5536
05:00:47	3.2105	45.3454	10.5547
05:00:52	3.5344	45.4058	10.5563
05:00:57	3.8583	45.4663	10.5576
05:01:02	4.1822	45.5268	10.5577
05:01:07	4.5061	45.5874	10.5581
05:01:12	4.8300	45.6480	10.5601
05:01:17	5.1539	45.7086	10.5621
05:01:22	5.4778	45.7693	10.5634
05:01:27	5.8017	45.8300	10.5662
05:01:32	6.1256	45.8907	10.5677
05:01:37	6.4495	45.9515	10.5707
05:01:42	6.7734	46.0124	10.5732
05:01:47	7.0973	46.0733	10.5757
05:01:52	7.4212	46.1342	10.5794
05:01:57	7.7450	46.1953	10.5808
05:02:02	8.0689	46.2563	10.5830
05:02:07	8.3927	46.3175	10.5841
05:02:12	8.7166	46.3787	10.5863
05:02:17	9.0404	46.4400	10.5891
05:02:22	9.3643	46.5013	10.5934
05:02:27	9.6881	46.5628	10.5973
05:02:32	10.0119	46.6243	10.6007
05:02:37	10.3358	46.6859	10.6047
05:02:42	10.6596	46.7476	10.6101
05:02:47	10.9834	46.8093	10.6142
