2024/09/26 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:12:49	0.5531	18.0121	10.5554
03:12:54	0.8770	18.0724	10.5561
03:12:59	1.2009	18.1328	10.5557
03:13:04	1.5248	18.1932	10.5568
03:13:09	1.8487	18.2536	10.5566
03:13:14	2.1726	18.3140	10.5579
03:13:19	2.4965	18.3744	10.5580
03:13:24	2.8204	18.4348	10.5586
03:13:29	3.1443	18.4953	10.5607
03:13:34	3.4682	18.5558	10.5623
03:13:39	3.7921	18.6163	10.5637
03:13:44	4.1159	18.6768	10.5647
03:13:49	4.4398	18.7374	10.5654
03:13:54	4.7637	18.7980	10.5674
03:13:59	5.0876	18.8587	10.5676
03:14:04	5.4115	18.9194	10.5688
03:14:09	5.7354	18.9801	10.5709
03:14:14	6.0593	19.0409	10.5726
03:14:19	6.3832	19.1017	10.5755
03:14:24	6.7071	19.1626	10.5784
03:14:29	7.0309	19.2235	10.5806
03:14:34	7.3548	19.2845	10.5836
03:14:39	7.6787	19.3455	10.5862
03:14:44	8.0025	19.4066	10.5892
03:14:49	8.3264	19.4678	10.5927
03:14:54	8.6503	19.5290	10.5951
03:14:59	8.9741	19.5904	10.5962
03:15:04	9.2979	19.6517	10.5972
03:15:09	9.6218	19.7132	10.6010
03:15:14	9.9456	19.7747	10.6047
03:15:19	10.2694	19.8363	10.6086
03:15:24	10.5932	19.8980	10.6140
03:15:29	10.9170	19.9598	10.6176
03:15:34	11.2408	20.0217	10.6221
03:15:39	11.5645	20.0836	10.6266
03:15:44	11.8883	20.1457	10.6323
03:15:49	12.2121	20.2078	10.6368
03:15:54	12.5358	20.2701	10.6417
03:15:59	12.8595	20.3324	10.6446
03:16:04	13.1832	20.3949	10.6464
03:16:09	13.5069	20.4575	10.6502
03:16:14	13.8306	20.5201	10.6560
03:16:19	14.1543	20.5829	10.6617
03:16:24	14.4780	20.6459	10.6679
03:16:29	14.8016	20.7089	10.6736
03:16:34	15.1253	20.7721	10.6798
03:16:39	15.4489	20.8354	10.6870
03:16:44	15.7725	20.8988	10.6941
03:16:49	16.0961	20.9623	10.7007
03:16:54	16.4196	21.0260	10.7085
03:16:59	16.7432	21.0899	10.7128
03:17:04	17.0667	21.1539	10.7166
03:17:09	17.3902	21.2180	10.7198
03:17:14	17.7137	21.2823	10.7270
03:17:19	18.0372	21.3467	10.7352
03:17:24	18.3607	21.4113	10.7439
03:17:29	18.6841	21.4761	10.7515
03:17:34	19.0075	21.5410	10.7602
03:17:39	19.3309	21.6061	10.7700
03:17:44	19.6543	21.6714	10.7787
03:17:49	19.9777	21.7369	10.7876
03:17:54	20.3010	21.8025	10.7969
03:17:59	20.6243	21.8683	10.8066
03:18:04	20.9476	21.9343	10.8119
03:18:09	21.2709	22.0005	10.8166
03:18:14	21.5941	22.0669	10.8242
03:18:19	21.9173	22.1336	10.8343
16:13:36	21.8707	30.3332	169.1620
16:13:41	21.5475	30.3997	169.1725
16:13:46	21.2243	30.4661	169.1829
16:13:51	20.9010	30.5323	169.1920
16:13:56	20.5777	30.5983	169.1966
16:14:01	20.2544	30.6641	169.2016
16:14:06	19.9310	30.7297	169.2088
16:14:11	19.6077	30.7951	169.2181
16:14:16	19.2843	30.8604	169.2277
16:14:21	18.9609	30.9254	169.2362
16:14:26	18.6375	30.9904	169.2450
16:14:31	18.3140	31.0551	169.2535
16:14:36	17.9906	31.1197	169.2615
16:14:41	17.6671	31.1841	169.2700
16:14:46	17.3436	31.2484	169.2782
16:14:51	17.0201	31.3125	169.2860
16:14:56	16.6965	31.3764	169.2899
16:15:01	16.3730	31.4402	169.2928
16:15:06	16.0494	31.5039	169.2967
16:15:11	15.7258	31.5675	169.3035
16:15:16	15.4022	31.6309	169.3106
16:15:21	15.0786	31.6942	169.3167
16:15:26	14.7550	31.7573	169.3238
16:15:31	14.4313	31.8203	169.3297
16:15:36	14.1077	31.8832	169.3361
16:15:41	13.7840	31.9460	169.3426
16:15:46	13.4603	32.0087	169.3472
16:15:51	13.1366	32.0712	169.3539
16:15:56	12.8129	32.1337	169.3574
16:16:01	12.4891	32.1960	169.3606
16:16:06	12.1654	32.2582	169.3622
16:16:11	11.8416	32.3204	169.3661
16:16:16	11.5179	32.3824	169.3711
16:16:21	11.1941	32.4444	169.3757
16:16:26	10.8703	32.5062	169.3806
16:16:31	10.5465	32.5680	169.3850
16:16:36	10.2227	32.6297	169.3898
16:16:41	9.8989	32.6913	169.3932
16:16:46	9.5751	32.7528	169.3969
16:16:51	9.2513	32.8142	169.4011
16:16:56	8.9274	32.8756	169.4047
16:17:01	8.6036	32.9369	169.4069
16:17:06	8.2797	32.9981	169.4078
16:17:11	7.9559	33.0593	169.4088
16:17:16	7.6320	33.1204	169.4122
16:17:21	7.3081	33.1814	169.4149
16:17:26	6.9843	33.2424	169.4180
16:17:31	6.6604	33.3033	169.4206
16:17:36	6.3365	33.3642	169.4243
16:17:41	6.0126	33.4250	169.4266
16:17:46	5.6887	33.4858	169.4285
16:17:51	5.3648	33.5465	169.4307
16:17:56	5.0410	33.6072	169.4323
16:18:01	4.7171	33.6678	169.4343
16:18:06	4.3932	33.7284	169.4347
