2024/09/28 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
04:36:27	9.2366	40.0000	10.6016
04:36:32	9.5604	40.0614	10.6029
04:36:37	9.8842	40.1229	10.6049
04:36:42	10.2081	40.1845	10.6074
04:36:47	10.5319	40.2462	10.6111
04:36:52	10.8557	40.3080	10.6154
04:36:57	11.1794	40.3698	10.6201
04:37:02	11.5032	40.4318	10.6247
04:37:07	11.8270	40.4938	10.6294
04:37:12	12.1507	40.5559	10.6348
04:37:17	12.4745	40.6182	10.6390
04:37:22	12.7982	40.6805	10.6445
04:37:27	13.1219	40.7429	10.6503
04:37:32	13.4456	40.8055	10.6543
04:37:37	13.7693	40.8682	10.6571
04:37:42	14.0930	40.9309	10.6594
04:37:47	14.4167	40.9938	10.6647
04:37:52	14.7403	41.0568	10.6705
04:37:57	15.0640	41.1200	10.6767
04:38:02	15.3876	41.1833	10.6835
04:38:07	15.7112	41.2467	10.6905
04:38:12	16.0348	41.3102	10.6972
04:38:17	16.3583	41.3739	10.7044
04:38:22	16.6819	41.4377	10.7119
04:38:27	17.0054	41.5016	10.7189
04:38:32	17.3290	41.5657	10.7275
04:38:37	17.6525	41.6300	10.7315
04:38:42	17.9759	41.6944	10.7348
04:38:47	18.2994	41.7590	10.7394
04:38:52	18.6228	41.8237	10.7485
04:38:57	18.9463	41.8886	10.7566
04:39:02	19.2697	41.9537	10.7657
04:39:07	19.5931	42.0189	10.7744
04:39:12	19.9164	42.0843	10.7835
06:05:22	-4.8705	60.4961	10.5682
06:05:27	-4.5467	60.5567	10.5665
06:05:32	-4.2230	60.6172	10.5663
06:05:37	-3.8992	60.6778	10.5649
06:05:42	-3.5754	60.7383	10.5641
06:05:47	-3.2516	60.7988	10.5621
06:05:52	-2.9278	60.8592	10.5606
06:05:57	-2.6040	60.9197	10.5606
06:06:02	-2.2802	60.9801	10.5593
06:06:07	-1.9563	61.0405	10.5586
06:06:12	-1.6325	61.1009	10.5567
06:06:17	-1.3086	61.1613	10.5571
06:06:22	-0.9848	61.2216	10.5563
06:06:27	-0.6609	61.2820	10.5561
06:06:32	-0.3371	61.3423	10.5563
06:06:37	-0.0132	61.4027	10.5555
06:06:42	0.3107	61.4630	10.5549
06:06:47	0.6345	61.5234	10.5552
06:06:52	0.9584	61.5837	10.5559
06:06:57	1.2823	61.6441	10.5562
06:07:02	1.6062	61.7045	10.5564
06:07:07	1.9301	61.7649	10.5578
06:07:12	2.2540	61.8253	10.5582
06:07:17	2.5779	61.8857	10.5582
06:07:22	2.9018	61.9462	10.5605
06:07:27	3.2257	62.0066	10.5607
06:07:32	3.5496	62.0671	10.5621
06:07:37	3.8735	62.1277	10.5625
06:07:42	4.1974	62.1882	10.5626
06:07:47	4.5213	62.2488	10.5651
06:07:52	4.8452	62.3094	10.5662
06:07:57	5.1691	62.3701	10.5678
06:08:02	5.4930	62.4308	10.5701
06:08:07	5.8168	62.4915	10.5729
06:08:12	6.1407	62.5523	10.5744
06:08:17	6.4646	62.6131	10.5765
06:08:22	6.7885	62.6740	10.5800
06:08:27	7.1124	62.7350	10.5823
06:08:32	7.4362	62.7960	10.5859
06:08:37	7.7601	62.8570	10.5865
06:08:42	8.0840	62.9182	10.5878
06:08:47	8.4078	62.9793	10.5897
06:08:52	8.7317	63.0406	10.5928
06:08:57	9.0555	63.1019	10.5966
06:09:02	9.3793	63.1633	10.6000
06:09:07	9.7032	63.2248	10.6037
06:09:12	10.0270	63.2863	10.6071
06:09:17	10.3508	63.3480	10.6120
06:09:22	10.6746	63.4097	10.6164
06:09:27	10.9984	63.4715	10.6206
06:09:32	11.3222	63.5334	10.6252
06:09:37	11.6459	63.5953	10.6286
06:09:42	11.9697	63.6574	10.6308
06:09:47	12.2934	63.7196	10.6326
06:09:52	12.6172	63.7819	10.6368
06:09:57	12.9409	63.8443	10.6420
06:10:02	13.2646	63.9067	10.6477
06:10:07	13.5883	63.9693	10.6542
06:10:12	13.9120	64.0321	10.6592
06:10:17	14.2357	64.0949	10.6655
06:10:22	14.5593	64.1578	10.6715
06:10:27	14.8830	64.2209	10.6779
06:10:32	15.2066	64.2841	10.6840
06:10:37	15.5302	64.3474	10.6914
06:10:42	15.8538	64.4109	10.6948
06:10:47	16.1774	64.4745	10.6980
06:10:52	16.5010	64.5382	10.7018
06:10:57	16.8245	64.6021	10.7091
06:11:02	17.1480	64.6661	10.7171
06:11:07	17.4716	64.7303	10.7244
06:11:12	17.7950	64.7946	10.7322
06:11:17	18.1185	64.8591	10.7402
06:11:22	18.4420	64.9237	10.7488
06:11:27	18.7654	64.9885	10.7573
17:35:31	19.8060	51.1149	169.2176
17:35:36	19.4826	51.1803	169.2271
17:35:41	19.1592	51.2455	169.2362
17:35:46	18.8358	51.3105	169.2447
17:35:51	18.5124	51.3753	169.2531
17:35:56	18.1889	51.4400	169.2575
17:36:01	17.8655	51.5045	169.2601
17:36:06	17.5420	51.5689	169.2656
17:36:11	17.2185	51.6331	169.2737
17:36:16	16.8950	51.6971	169.2810
17:36:21	16.5714	51.7610	169.2890
17:36:26	16.2479	51.8248	169.2961
17:36:31	15.9243	51.8884	169.3035
17:36:36	15.6007	51.9519	169.3106
17:36:41	15.2771	52.0153	169.3171
17:36:46	14.9534	52.0785	169.3240
17:36:51	14.6298	52.1416	169.3297
17:36:56	14.3062	52.2046	169.3341
17:37:01	13.9825	52.2674	169.3371
17:37:06	13.6588	52.3302	169.3398
17:37:11	13.3351	52.3928	169.3445
17:37:16	13.0114	52.4553	169.3503
17:37:21	12.6877	52.5177	169.3557
17:37:26	12.3639	52.5800	169.3606
17:37:31	12.0402	52.6422	169.3660
17:37:36	11.7164	52.7043	169.3708
17:37:41	11.3927	52.7663	169.3759
17:37:46	11.0689	52.8282	169.3806
17:37:51	10.7451	52.8900	169.3848
17:37:56	10.4213	52.9518	169.3894
17:38:01	10.0975	53.0134	169.3918
17:38:06	9.7737	53.0750	169.3927
17:38:11	9.4498	53.1365	169.3958
17:38:16	9.1260	53.1979	169.3983
17:38:21	8.8022	53.2592	169.4021
17:38:26	8.4783	53.3205	169.4059
17:38:31	8.1545	53.3817	169.4096
17:38:36	7.8306	53.4428	169.4118
17:38:41	7.5068	53.5039	169.4162
17:38:46	7.1829	53.5649	169.4180
17:38:51	6.8590	53.6258	169.4204
17:38:56	6.5351	53.6868	169.4241
17:39:01	6.2112	53.7476	169.4253
17:39:06	5.8874	53.8084	169.4268
17:39:11	5.5635	53.8692	169.4280
17:39:16	5.2396	53.9299	169.4295
17:39:21	4.9157	53.9905	169.4312
17:39:26	4.5918	54.0512	169.4332
17:39:31	4.2679	54.1118	169.4347
17:39:36	3.9440	54.1723	169.4366
17:39:41	3.6201	54.2328	169.4379
17:39:46	3.2962	54.2933	169.4396
17:39:51	2.9723	54.3538	169.4400
17:39:56	2.6484	54.4143	169.4415
17:40:01	2.3245	54.4747	169.4423
17:40:06	2.0006	54.5351	169.4435
17:40:11	1.6767	54.5955	169.4424
17:40:16	1.3528	54.6559	169.4427
17:40:21	1.0289	54.7163	169.4438
17:40:26	0.7051	54.7766	169.4438
17:40:31	0.3812	54.8370	169.4440
17:40:36	0.0573	54.8973	169.4446
17:40:41	-0.2666	54.9577	169.4437
17:40:46	-0.5904	55.0180	169.4441
17:40:51	-0.9143	55.0784	169.4439
17:40:56	-1.2381	55.1387	169.4432
17:41:01	-1.5620	55.1991	169.4419
17:41:06	-1.8858	55.2595	169.4417
17:41:11	-2.2097	55.3199	169.4412
17:41:16	-2.5335	55.3803	169.4416
17:41:21	-2.8573	55.4407	169.4407
17:41:26	-3.1811	55.5012	169.4394
17:41:31	-3.5049	55.5617	169.4383
17:41:36	-3.8287	55.6222	169.4367
17:41:41	-4.1525	55.6827	169.4355
17:41:46	-4.4763	55.7433	169.4327
17:41:51	-4.8000	55.8039	169.4312
23:59:59	-999.00	-999.00	-999.00
