2024/11/19 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
00:00:00	44.9487	-22.9623	12.3948
00:00:05	45.2686	-22.8625	12.4384
00:00:10	45.5883	-22.7619	12.4837
00:00:15	45.9080	-22.6603	12.5291
00:00:20	46.2277	-22.5577	12.5750
00:00:25	46.5472	-22.4542	12.6224
00:00:30	46.8667	-22.3498	12.6619
00:00:35	47.1861	-22.2443	12.6998
00:00:40	47.5054	-22.1378	12.7423
00:00:45	47.8246	-22.0303	12.7934
00:00:50	48.1437	-21.9217	12.8456
00:00:55	48.4627	-21.8121	12.8985
00:01:00	48.7817	-21.7013	12.9530
00:01:05	49.1005	-21.5894	13.0085
00:01:10	49.4193	-21.4762	13.0655
00:01:15	49.7380	-21.3619	13.1235
00:01:20	50.0566	-21.2464	13.1820
00:01:25	50.3750	-21.1296	13.2429
00:01:30	50.6934	-21.0115	13.3005
00:01:35	51.0117	-20.8921	13.3526
00:01:40	51.3299	-20.7713	13.4061
00:01:45	51.6479	-20.6491	13.4677
00:01:50	51.9659	-20.5256	13.5343
00:01:55	52.2837	-20.4005	13.6028
00:02:00	52.6015	-20.2740	13.6728
00:02:05	52.9191	-20.1459	13.7444
00:02:10	53.2366	-20.0163	13.8173
00:02:15	53.5540	-19.8850	13.8922
00:02:20	53.8712	-19.7520	13.9682
00:02:25	54.1884	-19.6174	14.0469
00:02:30	54.5054	-19.4810	14.1260
00:02:35	54.8222	-19.3428	14.1988
00:02:40	55.1390	-19.2027	14.2707
00:02:45	55.4556	-19.0608	14.3450
00:02:50	55.7721	-18.9169	14.4318
00:02:55	56.0884	-18.7710	14.5210
00:03:00	56.4045	-18.6230	14.6122
00:03:05	56.7206	-18.4729	14.7056
00:03:10	57.0364	-18.3206	14.8014
00:03:15	57.3521	-18.1661	14.8984
00:03:20	57.6677	-18.0093	14.9983
00:03:25	57.9831	-17.8501	15.1009
00:03:30	58.2983	-17.6884	15.2060
00:03:35	58.6133	-17.5242	15.3104
00:03:40	58.9282	-17.3574	15.4080
00:03:45	59.2428	-17.1880	15.5083
00:03:50	59.5573	-17.0157	15.6183
00:03:55	59.8716	-16.8407	15.7358
00:04:00	60.1857	-16.6627	15.8569
00:04:05	60.4995	-16.4817	15.9807
00:04:10	60.8132	-16.2976	16.1074
00:04:15	61.1266	-16.1102	16.2383
00:04:20	61.4399	-15.9195	16.3721
00:04:25	61.7528	-15.7254	16.5089
00:04:30	62.0656	-15.5277	16.6491
00:04:35	62.3781	-15.3263	16.7933
