2024/11/23 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
01:07:08	35.2574	-8.1910	11.4653
01:07:13	35.5791	-8.1109	11.4850
01:07:18	35.9008	-8.0303	11.5016
01:07:23	36.2224	-7.9492	11.5188
01:07:28	36.5440	-7.8677	11.5435
01:07:33	36.8655	-7.7856	11.5702
01:07:38	37.1870	-7.7030	11.5964
01:07:43	37.5084	-7.6199	11.6238
01:07:48	37.8298	-7.5363	11.6516
01:07:53	38.1511	-7.4521	11.6797
01:07:58	38.4724	-7.3673	11.7089
01:08:03	38.7936	-7.2820	11.7386
01:08:08	39.1148	-7.1961	11.7683
01:08:13	39.4359	-7.1096	11.7984
01:08:18	39.7569	-7.0225	11.8207
01:08:23	40.0779	-6.9348	11.8435
01:08:28	40.3988	-6.8465	11.8697
01:08:33	40.7197	-6.7575	11.9026
01:08:38	41.0405	-6.6679	11.9364
01:08:43	41.3612	-6.5776	11.9702
01:08:48	41.6819	-6.4866	12.0055
01:08:53	42.0026	-6.3949	12.0415
01:08:58	42.3231	-6.3025	12.0775
01:09:03	42.6436	-6.2094	12.1148
01:09:08	42.9640	-6.1155	12.1525
01:09:13	43.2844	-6.0209	12.1916
01:09:18	43.6047	-5.9255	12.2253
01:09:23	43.9249	-5.8293	12.2561
01:09:28	44.2451	-5.7323	12.2871
01:09:33	44.5651	-5.6344	12.3269
01:09:38	44.8851	-5.5357	12.3699
01:09:43	45.2051	-5.4362	12.4129
01:09:48	45.5249	-5.3358	12.4571
01:09:53	45.8447	-5.2344	12.5021
01:09:58	46.1644	-5.1321	12.5480
01:10:03	46.4841	-5.0289	12.5954
01:10:08	46.8036	-4.9247	12.6432
01:10:13	47.1231	-4.8196	12.6924
01:10:18	47.4425	-4.7134	12.7421
01:10:23	47.7618	-4.6061	12.7833
01:10:28	48.0810	-4.4978	12.8248
01:10:33	48.4001	-4.3885	12.8697
01:10:38	48.7191	-4.2780	12.9241
01:10:43	49.0381	-4.1664	12.9795
01:10:48	49.3569	-4.0536	13.0354
01:10:53	49.6757	-3.9396	13.0930
01:10:58	49.9944	-3.8244	13.1517
01:11:03	50.3129	-3.7079	13.2118
01:11:08	50.6314	-3.5902	13.2733
01:11:13	50.9498	-3.4711	13.3363
01:11:18	51.2680	-3.3507	13.3999
01:11:23	51.5862	-3.2289	13.4604
01:11:28	51.9043	-3.1057	13.5163
01:11:33	52.2222	-2.9810	13.5733
01:11:38	52.5400	-2.8549	13.6396
01:11:43	52.8577	-2.7272	13.7108
01:11:48	53.1753	-2.5979	13.7833
01:11:53	53.4928	-2.4671	13.8576
01:11:58	53.8102	-2.3346	13.9335
01:12:03	54.1274	-2.2004	14.0111
01:12:08	54.4445	-2.0644	14.0901
01:12:13	54.7615	-1.9267	14.1712
01:12:18	55.0783	-1.7871	14.2549
01:12:23	55.3950	-1.6456	14.3391
01:12:28	55.7116	-1.5022	14.4159
01:12:33	56.0280	-1.3568	14.4923
01:12:38	56.3443	-1.2093	14.5735
01:12:43	56.6604	-1.0598	14.6663
01:12:48	56.9764	-0.9080	14.7611
01:12:53	57.2922	-0.7541	14.8580
01:12:58	57.6079	-0.5978	14.9574
01:13:03	57.9234	-0.4392	15.0594
01:13:08	58.2387	-0.2781	15.1638
01:13:13	58.5538	-0.1146	15.2698
01:13:18	58.8688	0.0516	15.3795
01:13:23	59.1836	0.2204	15.4913
01:13:28	59.4982	0.3920	15.6020
01:13:33	59.8126	0.5664	15.7076
01:13:38	60.1268	0.7437	15.8154
01:13:43	60.4408	0.9240	15.9339
01:13:48	60.7545	1.1074	16.0603
01:13:53	61.0681	1.2939	16.1898
01:13:58	61.3814	1.4838	16.3225
01:14:03	61.6946	1.6772	16.4589
01:14:08	62.0074	1.8740	16.5988
01:14:13	62.3201	2.0745	16.7420
01:14:18	62.6324	2.2788	16.8895
01:14:23	62.9445	2.4869	17.0401
01:14:28	63.2564	2.6991	17.1948
01:14:33	63.5679	2.9155	17.3447
01:14:38	63.8792	3.1361	17.4956
01:14:43	64.1902	3.3613	17.6514
01:14:48	64.5009	3.5910	17.8243
01:14:53	64.8112	3.8255	18.0010
01:14:58	65.1213	4.0650	18.1833
01:15:03	65.4309	4.3097	18.3708
01:15:08	65.7403	4.5597	18.5637
01:15:13	66.0492	4.8152	18.7617
01:15:18	66.3578	5.0765	18.9656
01:15:23	66.6660	5.3438	19.1754
01:15:28	66.9738	5.6172	19.3915
01:15:33	67.2812	5.8972	19.6118
01:15:38	67.5881	6.1838	19.8277
01:15:43	67.8945	6.4775	20.0511
01:15:48	68.2005	6.7783	20.2879
01:15:53	68.5060	7.0868	20.5385
01:15:58	68.8109	7.4031	20.7977
01:16:03	69.1154	7.7276	21.0648
01:16:08	69.4192	8.0606	21.3404
01:16:13	69.7225	8.4026	21.6244
01:16:18	70.0251	8.7539	21.9190
01:16:23	70.3271	9.1150	22.2218
